hashtags:,#MartesdeFrescos,#MartesdeFrescos,#CocinandoConCucayMaruca
post_url,username,comment_id,comment_text
titha63,18068824922487451,https://www.instagram.com/p/CukUwkoJDPq/,😂😂
theraulshow,18002057245755937,https://www.instagram.com/p/CukUwkoJDPq/,“Ay qué bien desmenuza Mary” 😭😭😭😭
theraulshow,17997976111954012,https://www.instagram.com/p/CukUwkoJDPq/,“Cuando mi marido dice tengo hambre es tengo hambre” 🤣🤣🤣🤣
ramirezaldrete,18015160798660535,https://www.instagram.com/p/CukUwkoJDPq/,Prepárame un poco tiya!
