hashtags:,#TÚawards,#MoraRuiz
post_url,username,comment_id,comment_text
caromerida1,18114916864573300,https://www.instagram.com/p/DSDR8pykSaX/,Preciosos todos los vestidos!!! Elegantísimas las Macucas
morademoda,18085917986090852,https://www.instagram.com/p/DSDR8pykSaX/,@caromerida1 😍😍
killer_quake,18079207559173833,https://www.instagram.com/p/DSDR8pykSaX/,Bravo tías 👏👏
rodrosolis,17916825807237855,https://www.instagram.com/p/DSDR8pykSaX/,Eso es todo 🙌🙌
morademoda,17906274417294015,https://www.instagram.com/p/DSDR8pykSaX/,"Bravo , un honor"
lasmacucasoficial,18381838318154665,https://www.instagram.com/p/DSDR8pykSaX/,@morademoda el honor es nuestro
morajorgebeauty,17857130499574730,https://www.instagram.com/p/DSDR8pykSaX/,Esoooooo👏👏👏👏
lasmacucasoficial,18087896824969881,https://www.instagram.com/p/DSDR8pykSaX/,@morajorgebeauty 😘😘😘
