hashtags:,#ManualDeCarreño,#TipsMacucas
post_url,username,comment_id,comment_text
terecazolab,17880410874381597,https://www.instagram.com/p/DN-54QhEe8Z/,Buenísimo!! En mis reuniones tampoco puede faltar el Paté de Pierna 😂💜
florahagar_,18311423116243731,https://www.instagram.com/p/DN-54QhEe8Z/,@terecazolab 😂😂😂😂😂 me imagino !!!
lasmacucasoficial,17843168268565378,https://www.instagram.com/p/DN-54QhEe8Z/,"@terecazolab Hola Tere, qué gusto leer tu comentario, nos encanta tu paté. Se nota que es una receta muy fina, ¿por pura casualidad no estuviste en un internado con las Ursulinas y aprendiste a hacerlo ahí? Tiene ese toque tradicional que me recuerda a mi mamá"
terecazolamx,18065330693203902,https://www.instagram.com/p/DN-54QhEe8Z/,😂 recomendadísimo el Paté de Pierna
lasmacucasoficial,18064856969218236,https://www.instagram.com/p/DN-54QhEe8Z/,@terecazolamx buenísimo!
killer_quake,17860764132483117,https://www.instagram.com/p/DN-54QhEe8Z/,Son lo máximo tías 👏👏
terebarcelo,17860541340471994,https://www.instagram.com/p/DN-54QhEe8Z/,jajajajajaja me encantó!!!
lasmacucasoficial,18072965407878763,https://www.instagram.com/p/DN-54QhEe8Z/,@terebarcelo ❤️❤️❤️❤️❤️ holaaaa
marianiux0330,18104304217598655,https://www.instagram.com/p/DN-54QhEe8Z/,La gelatina de mosaicos de @terecazolamx  es deliciosa !! Por qué no le gusta ? 🤔
lasmacucasoficial,17868209085441601,https://www.instagram.com/p/DN-54QhEe8Z/,"@marianiux0330 no te confundas hija, en ningún momento decimos gelatina de mosaicos de Tere cazola. Hablamos de la gelatina de mosaico en general cuando mencionamos a Tere cazola es por el paté"
rodrosolis,18501425218071501,https://www.instagram.com/p/DN-54QhEe8Z/,Jajaja qué joya 💎
gracielaestradapinto,18054119687183931,https://www.instagram.com/p/DN-54QhEe8Z/,👏👏👏👏👏👏👏aplauso de pie desde el balcón de bellas artes. 👏👏👏👏👏👏👏
lasmacucasoficial,18052641776202611,https://www.instagram.com/p/DN-54QhEe8Z/,@gracielaestradapinto ❤️❤️❤️
rosamariarodriguezcardenas,18075110573102678,https://www.instagram.com/p/DN-54QhEe8Z/,👏👏👏👏Excelentes recomendaciones
quiquesauri,18066101165257902,https://www.instagram.com/p/DN-54QhEe8Z/,"Y hay otros detalles a considerar, la música, la iluminación y algunos extras que se puedan necesitar!!"
lasmacucasoficial,18064493471210258,https://www.instagram.com/p/DN-54QhEe8Z/,@quiquesauri tenemos que hacer más partes
quiquesauri,18085954222865863,https://www.instagram.com/p/DN-54QhEe8Z/,@lasmacucasoficial clarooo! Y que es lo correcto como anfitrión y que como invitado! Que hay cada persona! Ja ja ja
eduardosangall,17957663978843762,https://www.instagram.com/p/DN-54QhEe8Z/,Jajajaja ame el análisis y estudio que podría obtenerse de los usos y abusos del Philadelphia. ❤️
