hashtags:,#LaboratoriosChontalpa,#Salud
post_url,username,comment_id,comment_text
rodrosolis,18401121559132824,https://www.instagram.com/p/DT2gPnfkXVn/,😂😂😂😂😂😂 son lo máximo
majomajocg,18206178214320338,https://www.instagram.com/p/DT2gPnfkXVn/,😂😂😂
killer_quake,18308982823254670,https://www.instagram.com/p/DT2gPnfkXVn/,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
ramirezaldrete,18091741658483229,https://www.instagram.com/p/DT2gPnfkXVn/,"🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
Esas muestras son radioactivas!"
pildoritadelafelicidad,18105096949809764,https://www.instagram.com/p/DT2gPnfkXVn/,😂😂😂😂😂😂😂😂
republicayuca,18093094108777093,https://www.instagram.com/p/DT2gPnfkXVn/,😂😂😂
