hashtags:,#dayriqueen,#helados
post_url,username,comment_id,comment_text
tetecruz90,17912124674646682,https://www.instagram.com/p/CqbN-d0J-pn/,Jaja ya ví dónde andan...
yaji_mena,17971040573327750,https://www.instagram.com/p/CqbN-d0J-pn/,Penita Jajaja
yaji_mena,17951560787531393,https://www.instagram.com/p/CqbN-d0J-pn/,JAJAJAJAJAJA
