hashtags:,#yucatan,#recetas
post_url,username,comment_id,comment_text
landita06,18029543176873432,https://www.instagram.com/p/C2goOGtAZ1r/,Las chayitas los más delix 😍
mayosforza,18017992586012505,https://www.instagram.com/p/C2goOGtAZ1r/,Pagaría lo que sea por una mata de chaya acá en Argentina y ni se diga de unos buenos kilos de silkil pak! Saludos!!!
manuelfloress213,18017433617017936,https://www.instagram.com/p/C2goOGtAZ1r/,Como que tunas eres ya de Canadá 🍁 soco!
tote_gumaro,17987487956376636,https://www.instagram.com/p/C2goOGtAZ1r/,Se supone que lleva huevo duro(sancochado) saludos soco
andrea.v6,18031420183823675,https://www.instagram.com/p/C2goOGtAZ1r/,Estás bien Soco tienes muchas ojeras y se te mira cansado
emiliano.prds,17912722178868886,https://www.instagram.com/p/C2goOGtAZ1r/,Salúdame socoooo 🙌👏 buena receta 🔥
elsocotroco,17868655065011842,https://www.instagram.com/p/C2goOGtAZ1r/,@emilianozz.jmp saludos nene 🫶❤️
