hashtags:,#aprobadoporelsoco,#humor,#parejas
post_url,username,comment_id,comment_text
bernie_ochoa_morales,18061577546595806,https://www.instagram.com/p/DOHqCVyESzG/,Cómo se llaman los productos que recomiendan
saxtiagoblues,17942218205923013,https://www.instagram.com/p/DOHqCVyESzG/,Pero que es?? No se ve😢
baronbarrone_,18069833021179204,https://www.instagram.com/p/DOHqCVyESzG/,Cómo que el dolor?
pablo_solano760,17950411149008207,https://www.instagram.com/p/DOHqCVyESzG/,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
henryeninsta,18521021107042285,https://www.instagram.com/p/DOHqCVyESzG/,"🙌 ¡Gracias, Soco! Por otra parte, ya consíguete una hamaca y trata de descansar mucho, nené 🐼 Dios los bendiga a los dos por donde quiera que anden 🙏🏻🙏🏻"
jorgewarner,18090237022795998,https://www.instagram.com/p/DOHqCVyESzG/,Es como un pepto
wespad2003,17995405532672762,https://www.instagram.com/p/DOHqCVyESzG/,@lepetitbea el sombreroooo
