https://www.instagram.com/p/C5BuiZoLcrZ/,hashtags:,#APROBADOPORELSOCO
username,comment_id,text
mexican.traveling.in.europe,17955325607761740,Delicia 😋 🙌🙌
alvaro.8630,17905689560860710,Comenta
alvaro.8630,18070307089490850,Dónde compraste tu calzonera Soco
enriquetangari,17951638928777928,ELLLLL SOCOTROCOOOOO !!! The Best 🔥❤
poncho.sobe22,18027844702952624,Maaaaaa muy refrescante la degustación 😂😂 si se antoja
