hashtags:,#479,#keken
post_url,username,comment_id,comment_text
alejandro_delabarreda,18063434371991572,https://www.instagram.com/p/DIMnXItpHk1/,👏👏👏👏👏
calusalmeron,18289874080216754,https://www.instagram.com/p/DIMnXItpHk1/,👏👏👏👏👏👏
trasernaga,18065120767946528,https://www.instagram.com/p/DIMnXItpHk1/,"Mandame una tortita para Houston, TX!"
