https://www.instagram.com/p/DQiE1V2DeJU/,hashtags:,#broma
username,comment_id,text
labeth_444,17985149753911842,"""Que vas a dejarme sí tenemos muchas cosas que hacer""😂😂"
eduardovyvs,17887141407263853,Imagínate si fuera real! 🥰
lapinolino,18099780070707510,Jajajajajaja yo estoy más desesperada que él! Jajaja ya dinos! Jajajaja
un_negrochinodecuba,18111530302585997,😂😂😂😂😂😂
anaricods,17849155821589873,Déjalo yo@lo quiero jajajaja
jes_official,18078191858515949,Pobre Alfonso. 🤓💕
talaveramony,18346685176163777,Jajaja si todo el día andas pegada conmigo 😂 me encantan 🫶
shubi_1990,17906072550260522,No le hagas eso Alfonso 😂❤️
francesccs,17987871347883628,A qué hora si ya mero te fundes conmigo 🤣🤣 ameeee
zheibar,18076226426467751,No Jajaj eso no
adamescobarreto,17850598269546102,Esas novelas coreaaaanas 😂
williamantoniosanchezbarrera,18422209828129052,"😂😂😂😂Dejame en mi casa y haz lo que tu quieras, ya estas grande😂😂😂😂😂"
