hashtags:,#aprobadoporelsoco,#SazónDelBueno,#elsocotroco
post_url,username,comment_id,comment_text
feercoramz,17926838391007403,https://www.instagram.com/p/DL3Sr3LsZU7/,Las mejores pizzas 😍
danielita627,17914426227118814,https://www.instagram.com/p/DL3Sr3LsZU7/,😍😍😍
cafeboutique_oficial,18328511521201922,https://www.instagram.com/p/DL3Sr3LsZU7/,Cortarla con tijeras?😮😢
danielita627,18051496331570919,https://www.instagram.com/p/DL3Sr3LsZU7/,@cafeboutique_oficial pero él explica por qué
harvincontreras,18077161504920113,https://www.instagram.com/p/DL3Sr3LsZU7/,Saludameee
