hashtags:,#aprobadoporelsoco,#tómalanene,#ánio
post_url,username,comment_id,comment_text
rebecaespadas,18061188233303946,https://www.instagram.com/p/DH4F83gJVsf/,Cuanto tiempo se le deja al puerco
helgacd21,18072153250785446,https://www.instagram.com/p/DH4F83gJVsf/,"Gracias por la receta, lo preparé hoy y por fin me quedó"
patronmanuel922,18057550232004827,https://www.instagram.com/p/DH4F83gJVsf/,@normaanaya65
normaanaya65,18281854816267587,https://www.instagram.com/p/DH4F83gJVsf/,@patronmanuel922 parecido pero no igual 😂
briianfuentes07,18067048789748093,https://www.instagram.com/p/DH4F83gJVsf/,Yo después de haberle puesto sal recién haber echado el frijol: 👁️👄👁️
ericadiaz912,18054697837965161,https://www.instagram.com/p/DH4F83gJVsf/,Falto el chile habanero nene!
kimi_shapporo,17845485072433618,https://www.instagram.com/p/DH4F83gJVsf/,No mames me super antojo😍😍😍
albertico2602,17931014333913852,https://www.instagram.com/p/DH4F83gJVsf/,"Nene, por qué solo los lunes? Aquí en tu casa, lo comemos cuando se nos antoja jajaja"
chofisnatz,17919193031964502,https://www.instagram.com/p/DH4F83gJVsf/,😍
mariel297216,17870224194339421,https://www.instagram.com/p/DH4F83gJVsf/,No les explicaste Soco como se hace el arrocito tan característico de esa deliciosa comida ❤️❤️❤️
la_gonzalezzzzz,18133623442397822,https://www.instagram.com/p/DH4F83gJVsf/,Y las tortillas nene👏🔥
mounstroperez007,17872716003326942,https://www.instagram.com/p/DH4F83gJVsf/,Como se hace el arroz negro ?? 🙏
analau_dominguez,18140708950388419,https://www.instagram.com/p/DH4F83gJVsf/,@mounstroperez007 x2
_elizabethcm,18072030643872548,https://www.instagram.com/p/DH4F83gJVsf/,@mounstroperez007 mi abuelita pone a cocer su arroz normal y en vez de agua le pone 2 tazas del caldo del frijol y queda así
el_monty_official,18503338639060580,https://www.instagram.com/p/DH4F83gJVsf/,Muy ch'uwa
elsoldemid,18075033367693208,https://www.instagram.com/p/DH4F83gJVsf/,Faltó el chile habanero!!!!
