https://www.instagram.com/p/CtQQUiJrRkg/,hashtags:,#leones
username,comment_id,text
_josecarlosramirez,18012590704587219,Yo me lo imaginé con el de que agusticida….
boris_basulto,18086780023352349,Eso es todo chiqui con unas buenas cheves a naaaaa
laabichuelamagica,17967202241442171,"Veee esoo, seguro soltó su lágrima con el Oliver ñeñe"
manzanerovazquez,17960824763375950,Tremendos Pelanas !❤️
moycaro_fotografo,17959059899569572,"Mínimo 4 vasos cada uno, como debe ser jaja, saludos!"
j.a.m.e.s.z,18010085218662259,Ke chido video
lacoronelamid,17993411680971329,Mare Soco! Ya nos hubieras traído al @lalovillarp para que pruebe lo que es bueno. 🫢
valenciaaangiee,17960122787563934,@cardenalcantinero  fue obligado a ir al beis jajaja
cardenalcantinero,18019142251604027,@angieesosav 😂😂😂
cali_rael,17997549832779145,Mamama puro freson
mariana_perez_manjarrez,17996945065922254,Se junto la crema y nata (lo mero bueno)
jorcolli,17920573334726744,"Ma padrino , de lujo"
