hashtags:,#aprobadoporelsoco,#tómalanene,#ánio
post_url,username,comment_id,comment_text
arcangel_josue32,18051800884986225,https://www.instagram.com/p/DHR9Yk7MKZN/,Saludos soco
julieta_finale,17875102521293624,https://www.instagram.com/p/DHR9Yk7MKZN/,@fatodlt
