https://www.instagram.com/p/DTd3PpYEVJl/,hashtags:,#kekén
username,comment_id,text
sally_bqz,18058792502648836,😍 aprobado!! Gracias  Soco
isasarfer,17898362316225566,Provecho ❤️
lobos013,18421456906141634,Me encanta esta pareja.... 😂😂
monmiamel,17932599588169745,Porque me salen cuando estoy muriendo de hambre 😢😂❤️❤️ que deliciosas se ven !!!
christopher71fr,18053919152386792,Oye socio yo te vi en pizza ajedrez y me tome mi foto contigo😄
dulceteylor,17886417915303156,😋😋😍👏👏👏
gigio_bett,18305975770259857,"Unos cuantos pedacitos de Cáscara de chicharra, y uf; maaaas rico"
tek_kut,17973376770003254,Se ven buenas 🔥
catplata84,18065491025202134,Queremos ver el espagueti verde con pechuga de pollo empanizada!!! Jajaja
omarsnml,18043649999711137,Ahora la receta del schnitzel con spaghetti verde
obesolupis,18177482791374179,A mi siempre me sale amarga la salsa con tomatillo alguna recomendación para evitar eso?
rkl.r.car,18085050275163932,😭😅 uno a dieta y tu poniendo eso 😭😭😭
jpbs201,18062985041261985,Invita Socotroco!!!
_yami_lopexxz_,18086668024888426,H🔥🔥.
gil11398,17889597165410294,Te falto el ajo mi soco
lg_romo,18112564828626859,O
pau_lito2.0,18032038481568176,6
