hashtags:,#EMPRENDEDORESDEBARRIO,#APROBADOPORELSOCO,#736
post_url,username,comment_id,comment_text
andariego.mayan.mid,18340095730111794,https://www.instagram.com/p/C4bkasWrZK_/,Y que tal está rico nee?
jorge_moo1,18024070624997339,https://www.instagram.com/p/C4bkasWrZK_/,@el.jardin.del.cafe ❤️
