hashtags:,#comida,#yucatán
post_url,username,comment_id,comment_text
najinovelo,17856744714025179,https://www.instagram.com/p/CxTY_cMrdi-/,Que rico mi abuelita lo cocinaba delicioso el mondongo en andaluza
sergiopech24,17973288404543592,https://www.instagram.com/p/CxTY_cMrdi-/,@josuest2204
poothirayda,18008090671819930,https://www.instagram.com/p/CxTY_cMrdi-/,Delicioso
luisangel.marrufo,17856046893025020,https://www.instagram.com/p/CxTY_cMrdi-/,El mondongo se come con su barrita 😍😍
xitosita,18263815228088097,https://www.instagram.com/p/CxTY_cMrdi-/,🤤🤤
