https://www.instagram.com/p/DSdy9dpiERR/,hashtags:,#aprobadoporelsoco
username,comment_id,text
josecan8705,18138261670418036,Jajaja jajaja jajaja jajaja
jackie_baeza,18305834725254011,😂😂😂😂😂😂😂😍
beatriz.monforte.9,18084009784890900,"Delicioso el gulash , q lo disfruten mucho , sobre todo con el frío q hay por allá y q no les agarre la nevada"
hugoarturoperezgarcia,17852131992564187,Jajajaj
natalychan27,17918211717235455,😍😍
doraprado5,18423157765113741,Hay se me antojó el cortadillo ese aguado de Praga 😋😅
rafaelsch7,17864188743539836,Hay un lugar que se llama Lokal abajo del puente de Carlos IiI miu top y muy de locales
marthalope,18391578949181737,Te amo!!!😂😂😂😂😂
lunarod25,18106476370631488,En Tabasco tienen uno de esos se llama caldo de tortuga en su sangre. 😂
