hashtags:,#humor,#esposos,#risas
post_url,username,comment_id,comment_text
chicanitamx,17928271044110684,https://www.instagram.com/p/DP7h60kDLzz/,Me encanta su reacción es muy chistoso el soco. Al rato va a hacer un video con las diferentes caras que pone cuando lo usa 😂
bellalopez533,18108924406517628,https://www.instagram.com/p/DP7h60kDLzz/,"Es un VIDE y es excelente,  te ayuda a retirar el papel que no queden restos y te lo instala cualquier plomero. Lo recomiendo"
carrillo_c10,18084166454002411,https://www.instagram.com/p/DP7h60kDLzz/,Hajajaja saludos @mercibri 😂
