hashtags:,#gordos,#consejos
post_url,username,comment_id,comment_text
boris_basulto,17926980206759321,https://www.instagram.com/p/CwtHejkyua6/,Ya te checaron el cigüeñal chiqiui @donsocotroco ja ja ja ja
whitewitch1958,17981871995231204,https://www.instagram.com/p/CwtHejkyua6/,"Creo que si no comes comidas que contienen Azucar, mas  verduras con tus comidas bastante agua Fresca no potable, y caminar en vez del carro te aseguro que funcionara tu dieta! Suerte chulo"
antonio_4940,17855681814020897,https://www.instagram.com/p/CwtHejkyua6/,Me gusta como hablan  Hablan bonito los yucatecos
manuelfloress213,17886964469911903,https://www.instagram.com/p/CwtHejkyua6/,Deja todo los carbohidratos y vivirás mejor ! En serio ija
pochitoque0530,18020578057671072,https://www.instagram.com/p/CwtHejkyua6/,Donde es?
