hashtags:,#amor,#esposos,#aniversario
post_url,username,comment_id,comment_text
gildagennylizzie,18088101751555050,https://www.instagram.com/p/DCR64J1J1hL/,Lindísima pareja me encantan sus videos muchas bendiciones para  su matrimonio 🙏🙏🙏🙏
chapislove15,18289697971232862,https://www.instagram.com/p/DCR64J1J1hL/,Solo un osito regalaste.... Yo hay te lo boto Jjajjaa
lolynebrian,18046944911304008,https://www.instagram.com/p/DCR64J1J1hL/,Guapísima la novia don soco!! Cuídela mucho las mujeres amamos esos lindos detalles tu genial 👏muchas felicidades a los dos!!
sandra_beatriz728,18359730391136561,https://www.instagram.com/p/DCR64J1J1hL/,❤️❤️❤️❤️
sandra_beatriz728,17843818677358946,https://www.instagram.com/p/DCR64J1J1hL/,❤️❤️❤️
sandra_beatriz728,18015601109636246,https://www.instagram.com/p/DCR64J1J1hL/,❤️❤️❤️❤️
abrilchanlasadiquita,17946617345870121,https://www.instagram.com/p/DCR64J1J1hL/,"🥹🥹 Que lendoooo, por mil años más de muchísimas bendiciones,felicidad y mucho mucho amorcito ❤️❤️"
cruzrisy,17940042311916792,https://www.instagram.com/p/DCR64J1J1hL/,❤️❤️❤️❤️❤️❤️😍😍😍
natalychan27,18048478261850946,https://www.instagram.com/p/DCR64J1J1hL/,👏👏👏😍😍😍🙌
dontato12,17884247049118530,https://www.instagram.com/p/DCR64J1J1hL/,Venga con todo👏👏👏
soyjackie92,17859393819289711,https://www.instagram.com/p/DCR64J1J1hL/,😍
monse.sydic,18046404917021364,https://www.instagram.com/p/DCR64J1J1hL/,Tan rápido un año ????????? 😍😍😍😍😍😍😍😍😍
kibi988,18433656691077657,https://www.instagram.com/p/DCR64J1J1hL/,Moj@do Soco
