https://www.instagram.com/p/Cz4bUmHOjis/,hashtags:,#APROBADOPORELSOCO
username,comment_id,text
lluvisferlu,17990088707408248,"Soco es ciudad, dejo de ser municipio desde hace mucho, ahí pal dato 🫢"
tonantzin.pineda21,17979437855401749,"Atención personalizada de don Pío, que tiene un mural enfrente al lado de Elektra"
