hashtags:,#casamiento,#yucateco,#parejas
post_url,username,comment_id,comment_text
skink_merida,18028249795634897,https://www.instagram.com/p/CyM-TfWAaHJ/,Jajajajaja
victorialopezramirez,17931247415768327,https://www.instagram.com/p/CyM-TfWAaHJ/,@jandro.ch_
jandro.ch97,17985878774214488,https://www.instagram.com/p/CyM-TfWAaHJ/,@victorialopezramirez siiii así estarás seguro jaja
