hashtags:,#humor,#viral,#recetas
post_url,username,comment_id,comment_text
maria_e_f_m,18038032511081531,https://www.instagram.com/p/DDNZ8aZp2JW/,Ya  contagiaste a todos con la chupada de cuchara 🥄
grisel_honey,18049303613317953,https://www.instagram.com/p/DDNZ8aZp2JW/,Te faltó el jugo de la piña😋
salmai_cabrera,17905651865983276,https://www.instagram.com/p/DDNZ8aZp2JW/,Haz un sandwichon
galasifuentes,18009179303660403,https://www.instagram.com/p/DDNZ8aZp2JW/,Rojooooo
gigio_bett,18077844553598349,https://www.instagram.com/p/DDNZ8aZp2JW/,"¡ PASTA FRIA !
LAS SOPAS SON CON CALDO."
mostheherrera,18046686614135634,https://www.instagram.com/p/DDNZ8aZp2JW/,Faltó el.chile jalapeño
martingamboa9,18467083114023745,https://www.instagram.com/p/DDNZ8aZp2JW/,Ja ja ja el villancico !!!
marthaballon,18053987602940828,https://www.instagram.com/p/DDNZ8aZp2JW/,Si le pones queso tip-top queda delicioso
lcetzal,18030837023415883,https://www.instagram.com/p/DDNZ8aZp2JW/,Soco soco no tiene nada que ver pero donde compras tu ropa yoo busco ropa así y nada que consigo
gabgremanu,18060625687875103,https://www.instagram.com/p/DDNZ8aZp2JW/,Le faltó echarle lechera keda más al tiro  saluditos ❤️❤️
reynaldo.sosamena,17882804007092552,https://www.instagram.com/p/DDNZ8aZp2JW/,Mucho tequila padrino
elcolornegroesmifav,18094939129491406,https://www.instagram.com/p/DDNZ8aZp2JW/,Una receta de sándwich on
bhetoflores,17875325778214102,https://www.instagram.com/p/DDNZ8aZp2JW/,"Así la hago pero como a mis peques les gusta más dulce le pongo almíbar de la piña o en su defecto mermelada de piña, también queda sabroso."
ramont.alvarezdelrio,18051278752988227,https://www.instagram.com/p/DDNZ8aZp2JW/,Soco prueba echarle un poco de mermelada de piña después me dices
delmy470,18020053157623379,https://www.instagram.com/p/DDNZ8aZp2JW/,@donsocotroco faltó la coquita
rosadonidia,18029784164185353,https://www.instagram.com/p/DDNZ8aZp2JW/,Que rico
amandaherrera20221,18061781350675476,https://www.instagram.com/p/DDNZ8aZp2JW/,"Ojalá ese tazón sea solo para ti,si no ya resolviste tu virus de gripe allí jajaja saluditos deliciosa receta 🙌"
kardarkness96,18377188834107596,https://www.instagram.com/p/DDNZ8aZp2JW/,Amo como habla el soco😂 saludos
jor_a_lopez,17854308345339407,https://www.instagram.com/p/DDNZ8aZp2JW/,Faltó su jalapeño bb😂
williameksa,18127304278389598,https://www.instagram.com/p/DDNZ8aZp2JW/,"Si le pones un poco del juguito de la piña en almíbar, Maaaa que da más rico 😋"
manuel_alonzo08,18023905844535813,https://www.instagram.com/p/DDNZ8aZp2JW/,@donsocotroco ahora otro clásico ensalada rusa 😋
enaluisaganem,18038634287253015,https://www.instagram.com/p/DDNZ8aZp2JW/,delicia!!!
