hashtags:,#parejas,#humorviral,#comedia
post_url,username,comment_id,comment_text
esavans,18100931197541886,https://www.instagram.com/p/DJ5WP5BslUV/,Jajajajajaja amo el acento y el humor 😂😂😂😂
biniolaurencio,18055766858260438,https://www.instagram.com/p/DJ5WP5BslUV/,JAJAJAJAJAJA 😂😂😂😂😂😂 sabes mas de mierrrr 😂😂😂😂😂😂😂
cazaosote_05,17989307435662442,https://www.instagram.com/p/DJ5WP5BslUV/,🔥🔥🔥🔥🔥🔥🔥🔥🔥
israel.aguilarnavarrete,18034982402427493,https://www.instagram.com/p/DJ5WP5BslUV/,😂😂😂😂😂😂😂
laurisangelica,18505412083059121,https://www.instagram.com/p/DJ5WP5BslUV/,😂😂😂😂
patricio.1970__,17861022102411784,https://www.instagram.com/p/DJ5WP5BslUV/,Eso pasa cuando sales con chairo
lucke.moonwalker,17965037411864657,https://www.instagram.com/p/DJ5WP5BslUV/,La ojera de Van Gogh
qiinito,18372004225193922,https://www.instagram.com/p/DJ5WP5BslUV/,Sabes más de miaaaaarda
biniolaurencio,18125559145445409,https://www.instagram.com/p/DJ5WP5BslUV/,Quien me arranco mi capello?! Tu me arrancaste mi capello?!?! 😂🙌😂🙌😂🙌 pero tiene toda la razón ignorante  vs bruto 😂😂😂😂😂😂
