hashtags:,#374,#Kekén
post_url,username,comment_id,comment_text
armandourielcc,17960910518813791,https://www.instagram.com/p/DA6nBvKpF0p/,"La otra vez pedí ahí y la oreja estaba dura , maciza sin sabor, surtido con hígado nonono"
willyesquivel,18201733081289325,https://www.instagram.com/p/DA6nBvKpF0p/,Y donde queda??
kekenmexico,17860435662258444,https://www.instagram.com/p/DA6nBvKpF0p/,@willyesquivel ¡Hola! Acá arriba en la descripción puedes encontrar la dirección ❤ para ir a deleitarte.
