https://www.instagram.com/p/CyuUop7JeSv/,hashtags:,#aprobadoporelsoco
username,comment_id,text
marycarmen.alcocer,18004984499088307,Y la dieta @donsocotroco ?
mauriciogamboa_,17997849587221531,Jajajaja te la rifas te
oye.markitos,18009338854967815,❤️❤️❤️❤️
carpago,18003177668135194,Soco a la yucateca eso son inventos 🤣😂😂
tixca__chan,18081007255393990,Delicia padrino  solo sin tomar agua.  Si no chonak  jaja
