https://www.instagram.com/p/CrrtVmYPP7B/,hashtags:,#aprobadoporelsoco
username,comment_id,text
hectorincanul,17972237114202136,"Estamos en coffrapía @donsocotroco  Soco, está al tiro nn"
katia.ros_,18221013862173709,@victor_samos 🥺
victor_samos,17994691711867529,@katia.ros_ vamos❤️
elbajondeltio_mid,18259867495156772,Socotroco cuando nos vienes a conocer!? 🙌
