hashtags:,#humor,#historytime
post_url,username,comment_id,comment_text
audomarito,17999054063758413,https://www.instagram.com/p/DDVx3LvRoJ1/,Me hiciste llorar Socotroco
saponijabon,18115590805385238,https://www.instagram.com/p/DDVx3LvRoJ1/,"Cuando no es tu momento, Dios te lo hará saber de cualquier manera 🫠"
gabrieladajdaj,18285042607171487,https://www.instagram.com/p/DDVx3LvRoJ1/,Preciosooo
keilajael74,17875603404214606,https://www.instagram.com/p/DDVx3LvRoJ1/,Mi cielo se ve que aun es un tema que genera gratitud pero igual otros sentimientos más 🫂🫂un abrazo grande y gracias por compartir tus valiosas experiencias de vida ❤️🥳
georginamanria,18060585583867007,https://www.instagram.com/p/DDVx3LvRoJ1/,Bendiciones 🙏🏻 dios todo a cómoda a su tiempo
sagrariiodzul,18013013927479246,https://www.instagram.com/p/DDVx3LvRoJ1/,Bendiciones soco te admiro y respeto  dios nos da otros ángeles cuando ellas nos hacen falta
vanyto35,18025734125281640,https://www.instagram.com/p/DDVx3LvRoJ1/,😭😭😭😭😭
josuesosac,18119013439414043,https://www.instagram.com/p/DDVx3LvRoJ1/,❤️❤️👏👏
