hashtags:,#larutadelagarnacha,#merida
post_url,username,comment_id,comment_text
princessacaramel15,17997560600562011,https://www.instagram.com/p/C5zdkW2uMaG/,Quieroooo❤️😋😋😋
camachopekle,18046172632710686,https://www.instagram.com/p/C5zdkW2uMaG/,Este señor habla como cucho de don gato
atzpalomares,17966152130718942,https://www.instagram.com/p/C5zdkW2uMaG/,Amamos la comida Yucatec
martinezjose.el7,18048237280579829,https://www.instagram.com/p/C5zdkW2uMaG/,“ Miren la chulada “ en yucateco
ozkarbrito,17943213497799300,https://www.instagram.com/p/C5zdkW2uMaG/,Mi bella Mérida 😍
d.soveida,18317097889127652,https://www.instagram.com/p/C5zdkW2uMaG/,👏
marioowl,18427932880045833,https://www.instagram.com/p/C5zdkW2uMaG/,No soy fan de la chaya
