hashtags:,#familia,#comida
post_url,username,comment_id,comment_text
rs7daniel,17920755527757968,https://www.instagram.com/p/CuiK73aNSp-/,Ajajajajajajajajjqjajajjaja lo de candidata
gabi.martinez.522,17848182470997520,https://www.instagram.com/p/CuiK73aNSp-/,Mmmm
lauriemendez,17871825176934231,https://www.instagram.com/p/CuiK73aNSp-/,Suegra vs nuera
edmndohrnandz,17944610222657346,https://www.instagram.com/p/CuiK73aNSp-/,Arroz no aprobado por el soco?
