https://www.instagram.com/p/CGDzckpgplj/,hashtags:,#tomalanene
username,comment_id,text
namencharruf,17968334998334118,No viste a @tiorober_ ?
jesuscardenas_23,17855698568249643,"Kike es una santa verga ❤️ felicidades soco, saludos padrino"
