https://www.instagram.com/p/DDP-HYPprxV/,hashtags:,#Kekén
username,comment_id,text
alejandroxsp88,17928706514979217,"A..ñó?, cómo?. Con toda la actitud o que opinan?. Rica...para darle en la mother a la piltririfilla o que opinan?. Padrino, si asi es sizañan o que opinan?"
juli.ontiverosa,18018824342348315,"En el MaxiCarne de la Colonia México Oriente en Merida Yucatán, no te dan nota. Te dicen que se fue la luz y que regreses luego por la nota. El pago fue en efectivo. OJO 👁 que no les estén robando sus empleados"
