hashtags:,#lluvia,#agua,#clima
post_url,username,comment_id,comment_text
henry.gp.hg,17958755660704066,https://www.instagram.com/p/DAo56PGpUqJ/,Soconcomo te contrato para publicidad?
andydom__,18037071179471404,https://www.instagram.com/p/DAo56PGpUqJ/,Jajajaja😂
arr.28l,17937828797795454,https://www.instagram.com/p/DAo56PGpUqJ/,😂😂😂😂😂
gabrielagamboagurbiel,18051416641731389,https://www.instagram.com/p/DAo56PGpUqJ/,😂😂😂😂
anapaomoreno,17945187356763875,https://www.instagram.com/p/DAo56PGpUqJ/,😂
bubealcazar,18060322771668659,https://www.instagram.com/p/DAo56PGpUqJ/,Cuidado soco
