https://www.instagram.com/p/DRlEcpEEesB/,hashtags:,#aprobadoporelsoco
username,comment_id,text
mike_gongora27,18087741640809440,Muy bueno
jaquiecarrillos,18152324377422159,👏👏👏
aranza_alonzo,17903090910307978,😮😮😮😮
edgar_chao1,17947008636066836,Super delicioso 😋
gina.basto,18088672859057700,Super delicioso amee
