https://www.instagram.com/p/Cou7MgTJ0qb/,hashtags:,#aprobadoporelsoco
username,comment_id,text
osorio_santino,18344698978006877,😍
ivan.pacheco.85,18253869511126259,Cuando gordito?
superguaperrimo,17964365045098747,Ahi esta esta el sikil ta’
haider_tun_lopez,17923309355658173,Invitá a los pobres padrino. Jajaja😂
alejandroaraoz,17970334580292994,@chikys_pacheco
