https://www.instagram.com/p/Cx_xk3VLSBR/,hashtags:,#aprobadoporelsoco
username,comment_id,text
dj_santoz,18386084869008093,Zampo al dj @zoramfranco
zoramfranco,17858083104030489,@dj_santoz  aaaa ñiá
skink_merida,17972208719434581,👏👏👏👏👏👏
aammeemm09174827492749292,18071922406417579,A veces es mejor no subir nada …. De nada
