https://www.instagram.com/p/C-VOorEgUhv/,hashtags:,#juegosolimpicos
username,comment_id,text
adolfrey,18056417995662895,"Existen trabajos difíciles, y luego está el de ser la bicicleta del Soco , que habrá sido en otra vida para soportar este castigo jaja"
vicktor_75,18033904597906071,Por mas fotos así...!!!+
_giraffemc,18079826680500358,Tkm soco 🤤
