https://www.instagram.com/p/DLq-eK2MU65/,hashtags:,#aprobadoporelsoco
username,comment_id,text
crybabysatan,17869691331304974,Yo las hago en sartén para no gastar tanto aceite
jor_a_lopez,17974451660887323,Que harina? De nixtamal?
matias.garcia08,17892884445258830,Saludame socotroco yo también tqm y me gusta seguir tus recetas al estilo Soco @elsocotroco
