hashtags:,#recetas,#comida,#arroz
post_url,username,comment_id,comment_text
claudynv24,18300028540228406,https://www.instagram.com/p/DFTuO3tMKvE/,"Queeee paso padriiino, nos dejaste a la mitad"
mr_centeno14,18121168114421512,https://www.instagram.com/p/DFTuO3tMKvE/,"Y el resto del video , gallo?"
abrilchanlasadiquita,18082337773592209,https://www.instagram.com/p/DFTuO3tMKvE/,Segunda parte @donsocotroco porfis
abrilchanlasadiquita,17997622838735535,https://www.instagram.com/p/DFTuO3tMKvE/,Gracias!! @donsocotroco 🙌
nataliacauich0822,18088993966557417,https://www.instagram.com/p/DFTuO3tMKvE/,X k no termina el video
