hashtags:,#humor,#risas,#esposos
post_url,username,comment_id,comment_text
jimbull23,18021031187770241,https://www.instagram.com/p/DDiMyHOpfYu/,😍😍😍😍
burrotimoteo,18073062148678051,https://www.instagram.com/p/DDiMyHOpfYu/,Que deli. 👁️🫦👁️. 🐻
zoey_leeburrow,18216775294288645,https://www.instagram.com/p/DDiMyHOpfYu/,😂
edith_villanueva_82,18036798125548606,https://www.instagram.com/p/DDiMyHOpfYu/,Jajajaja
pasiconga,17998856567598747,https://www.instagram.com/p/DDiMyHOpfYu/,Q qué fea música buscaste
bcchary,18053504471112082,https://www.instagram.com/p/DDiMyHOpfYu/,😅😅🤣
yerar250988,18039525416154735,https://www.instagram.com/p/DDiMyHOpfYu/,Si así está la vereda ya me imagino la selva 🤣😂🤣😂
amalai_deboy,18087227032586080,https://www.instagram.com/p/DDiMyHOpfYu/,Jajajaja
elkurandero_oficial,18085284514592328,https://www.instagram.com/p/DDiMyHOpfYu/,Uff lo mejor yo soy jabón ufff
pattypina359,18074247760686037,https://www.instagram.com/p/DDiMyHOpfYu/,Que cara tan original 💞🤩
marcelatrujillot,17888219775197990,https://www.instagram.com/p/DDiMyHOpfYu/,Que asco
andrea.zaragoza0312,18101097904497566,https://www.instagram.com/p/DDiMyHOpfYu/,Añaaaa!!!!
arg_enis_,18051481139092322,https://www.instagram.com/p/DDiMyHOpfYu/,😂😂😂😂😂
yezka.mj,18250408537275667,https://www.instagram.com/p/DDiMyHOpfYu/,Hace más efectivo el combate contra el acné
ivanerp1987,18100817953425423,https://www.instagram.com/p/DDiMyHOpfYu/,Quieres ser el jabón @adrian10leon ??? Ñeñeee
lucke.moonwalker,18052369379310376,https://www.instagram.com/p/DDiMyHOpfYu/,"😂Lavado de cazuela ""a la Soco""😂"
maranamtz,18035763947104982,https://www.instagram.com/p/DDiMyHOpfYu/,Ese jabón se perdio hace horas!!!😂
inhabiteduncle,18056392525927702,https://www.instagram.com/p/DDiMyHOpfYu/,🔥👄🔥
maly3e,17935042925954294,https://www.instagram.com/p/DDiMyHOpfYu/,😂😂😂
humbertod79,18009400355675947,https://www.instagram.com/p/DDiMyHOpfYu/,😂😂😂😂😂😂😂
yogui.102,18475905310057744,https://www.instagram.com/p/DDiMyHOpfYu/,El Zote😂
ursucorreacastillo,18061980856861615,https://www.instagram.com/p/DDiMyHOpfYu/,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
irma.carvajal.355,17866384566269028,https://www.instagram.com/p/DDiMyHOpfYu/,😂😂😂
ake_akemia,18014899436645356,https://www.instagram.com/p/DDiMyHOpfYu/,Jajajajajajaj fo 😂
chicomigranhia,17908527213062690,https://www.instagram.com/p/DDiMyHOpfYu/,Lleno de pelos ya ese jabón.
matoyrl,18270808798247415,https://www.instagram.com/p/DDiMyHOpfYu/,😮
manuelfloress213,17852999595347934,https://www.instagram.com/p/DDiMyHOpfYu/,Chela y ponso !
docsiniestro,18074556250620774,https://www.instagram.com/p/DDiMyHOpfYu/,"Espera, a poco llega!!! Se ha de quedar en la espalda no creo que llegue hasta el rincón"
eriklc17,18305968063200444,https://www.instagram.com/p/DDiMyHOpfYu/,Jajajajajajajajajaja😂😂😂😂😂😂
quique__acevedo,18321945235089255,https://www.instagram.com/p/DDiMyHOpfYu/,😍🔥
deivideviaje,18071182576641374,https://www.instagram.com/p/DDiMyHOpfYu/,Wakala que rico
