hashtags:,#comida,#delicioso,#empanadas
post_url,username,comment_id,comment_text
lux.arzapalo,18177482665302041,https://www.instagram.com/p/CqjmeaZul4L/,Una planchadita de camisa 🤭
arearjona,17982976057886401,https://www.instagram.com/p/CqjmeaZul4L/,Donde es eso . Ne
melissz86,17982043523061725,https://www.instagram.com/p/CqjmeaZul4L/,"@arearjona zona de comidas del parque Santiago, centro"
crepaschefcito,17958477818443336,https://www.instagram.com/p/CqjmeaZul4L/,@melissz86 de día o de noche?
melissz86,17972172095272205,https://www.instagram.com/p/CqjmeaZul4L/,@crepaschefcito yo fui de noche
abnerpadi7,18092177431323617,https://www.instagram.com/p/CqjmeaZul4L/,Y pa la lubricaciom?
