hashtags:,#aprobadoporelsoco,#bailalorocky,#tómalanene
post_url,username,comment_id,comment_text
mcocom544,17976967523700505,https://www.instagram.com/p/DHyL21CA4-5/,"Mi favorito es el entresijo ,aquí donde estoy es redaño me encanta"
alfredoalejandro.alejandro,17842972935460223,https://www.instagram.com/p/DHyL21CA4-5/,Eláná !!
morenomendoza,17894575092087002,https://www.instagram.com/p/DHyL21CA4-5/,La guadalupana es garantía! Supongo también has probado la de Cauich que venden ya preparada con su capa se aguacate nene
mike_castilloo,17908644708101631,https://www.instagram.com/p/DHyL21CA4-5/,🤮🤮
arelyss2024,18060118583013544,https://www.instagram.com/p/DHyL21CA4-5/,"Soco ahí la llevas ya se empieza a notar las caminatas, felicidades!!!"
mv_fashionstoremx,18040608269408424,https://www.instagram.com/p/DHyL21CA4-5/,Se me antojó
gonalezarate,17866465092354576,https://www.instagram.com/p/DHyL21CA4-5/,👏🔥🔥delicioso!!! Me la pasé comiendo castacan en mis vacaciones por qué donde vivo no hay tremendo manjar…🥹😝🫶 deli…
luiscasaresk,18491900719056585,https://www.instagram.com/p/DHyL21CA4-5/,Que barbaro!
calincho17,18160476400344135,https://www.instagram.com/p/DHyL21CA4-5/,Entrecijo “xil”. Riquísima esa chicharrita!
ramirezitzelnelly,18269145028262037,https://www.instagram.com/p/DHyL21CA4-5/,🙌
ferferto91,18045911540372721,https://www.instagram.com/p/DHyL21CA4-5/,"Bebe, si se antoja.. y la chicharra también"
rokie1216,18082204537640180,https://www.instagram.com/p/DHyL21CA4-5/,Mahh que rico
wilbertsarabia,17881701243162326,https://www.instagram.com/p/DHyL21CA4-5/,Que cosaaaaa!
