hashtags:,#humor,#gordices,#consejos
post_url,username,comment_id,comment_text
cuacch,18284143114235486,https://www.instagram.com/p/DAb1-d0JnmA/,Saludos soocoooo
ulises_patron,17948612189845646,https://www.instagram.com/p/DAb1-d0JnmA/,El consejo es que cuides la salud !!
papafoodie1,18077542399547327,https://www.instagram.com/p/DAb1-d0JnmA/,Mejor baja de peso !!! y deja de romantizar e intentar pasar como si no hubiera consecuencias terribles la obesidad morfida que mueren miles por ello cada año.
jaedro80,18276927445172885,https://www.instagram.com/p/DAb1-d0JnmA/,😘🫴🏼♥️♥️♥️🥰 papasote!
