hashtags:,#maya,#amor
post_url,username,comment_id,comment_text
gilbandala,18003744947475472,https://www.instagram.com/p/CxY9jX0LoDr/,Pero bien que eres zaka taa!!! 😂😂😂
tonialonzo17,17981120402552368,https://www.instagram.com/p/CxY9jX0LoDr/,@_minelfigueroa_ 😅 ahora ya sabes
_minelfigueroa_,18030863407604209,https://www.instagram.com/p/CxY9jX0LoDr/,"@tonialonzo17 JAJAJAJAJAJAJAJA, no puedoooo dejar de reír así mismo te hice hoy 🤣"
tonialonzo17,18012705583956540,https://www.instagram.com/p/CxY9jX0LoDr/,@_minelfigueroa_  ya te ibas a molestar jajaja por eso no te quería decir es algo feo jajaj
domtopdog240,18007294364066810,https://www.instagram.com/p/CxY9jX0LoDr/,"Cuida el agua, Dzidzon"
skink_merida,18277161856194481,https://www.instagram.com/p/CxY9jX0LoDr/,😂😂😂😂😂😂😂
kpenixe,17885559692861351,https://www.instagram.com/p/CxY9jX0LoDr/,Y que es cada uno? 😅
mrecruz562,18046643662499573,https://www.instagram.com/p/CxY9jX0LoDr/,Mare no sabe maya
mrecruz562,17994513734229564,https://www.instagram.com/p/CxY9jX0LoDr/,Ha ha ha
eeap88,18080330179377098,https://www.instagram.com/p/CxY9jX0LoDr/,¡NO TIRES TANTA AGUA! Cierra la llave para conversas
patricio.1970__,17906712323829968,https://www.instagram.com/p/CxY9jX0LoDr/,Y el fab para lavar
antoniocen_,17972024408404057,https://www.instagram.com/p/CxY9jX0LoDr/,JAJAJAJJAJAJAJAJJJJAJAJA
merbagundi,18267637816081742,https://www.instagram.com/p/CxY9jX0LoDr/,Mare y no eres Dzizon?? 😂😂😂😂 como va ser??
