https://www.instagram.com/p/C7Pkr4Bp_hh/,hashtags:,#Keken
username,comment_id,text
celimeno,18099716473408049,Hazte queso relleno neeee 🔥🙌👏 que hermoso es el Mayab
mitzimaaayy,17851852770198271,nene y la sal en que momento? 😢
spideranima74,17940444002727757,Y la sal??? cuando se la pusiste? cuando añades la carne molida??
anconajcs,18013252418142145,"Soco mi abuelita nos hacia albóndigas  negras y les ponía unos conos de masa deliciosos , también platillo yucateco de antaño. Lo  has probado ?"
jabeszapata,17910665834865462,@rommps
najinovelo,17924304371899767,❤️❤️❤️ maeee delicioso
enuedct,18039644956855661,"Ya que andas allá, tráeme algo de el @jorggill"
fercasrom,18019682456211673,Y a que hora le pusiste la sal aprende a hacer videos de recetas
henry_patraca,18009949211434668,"Soco! Un tip, pon un trapo debajo de tu tabla para que no se te mueva al picar y evites posibles accidentes, padrino 👀"
