https://www.instagram.com/p/C4yThFPrPOg/,hashtags:,#APROBADOPORELSOCO
username,comment_id,text
herbertvilla,18067677457498125,A ñoooo !!!! Se ve genial iremos a probarlos
benitoguerrasilla,18102416632376917,"Que buen banquete, provechito"
caroline.pat8,18431119054059954,@mau_maneee tú y yo comiendo así no se piénsalo
escarcheve,18003287186222868,Uay né !!
