https://www.instagram.com/p/CQeavWELkgm/,hashtags:,"#Cozumel,"
username,comment_id,text
030475,17868912560519775,Tranquilo padrino
josecastillo63,17915009350736449,Bien 👍 nene
manolotrejo,17879349719467881,Vente a verme
emmanuelescalantem,18122240284211159,salúdame soco
albatraozcz,17860649666553306,Ontas para una fotito
daviddominguezbrito,17889917021247712,Saludos socotroco desde chetumal Q.Roo
miguel.calderon.mecp,17912479666850658,Saludos desde LA California Soco.
tomascxc,17852647271567898,Exelentee socco👏
now14,17902781137897535,👏
