hashtags:,#aprobadoporelsoco,#dogers,#othani
post_url,username,comment_id,comment_text
andrqd,18540088900026172,https://www.instagram.com/p/DQV6PTxAJ7v/,Los jays ganan la serie
elsocotroco,18536104177035898,https://www.instagram.com/p/DQV6PTxAJ7v/,@andrqd tú crees
agus.menendezcd,18130249414490993,https://www.instagram.com/p/DQV6PTxAJ7v/,Ya que se acabé 😴
fabiansrn,18073950728255286,https://www.instagram.com/p/DQV6PTxAJ7v/,"Checate esa muela SocoDios, no se vaya a convertir en algo peor!"
_fittedcaps,17975396453944548,https://www.instagram.com/p/DQV6PTxAJ7v/,Daaaaaaaaaaa Dodgers lose! 🐦🪶
eduardopootl,18170260819332368,https://www.instagram.com/p/DQV6PTxAJ7v/,El que gane hoy será campeón gordito
elsocotroco,18316200070169150,https://www.instagram.com/p/DQV6PTxAJ7v/,@eduardopootl lo mismo pienso
