https://www.instagram.com/p/CzDAxUhL6CD/,hashtags:,#APROBADOPORELSOCO
username,comment_id,text
mminuka,17959359068657203,"Te felicito por cuidar tu persona cada dia , más a mercy que te impulsa . Es importante cuidarnos y procurarnos ."
skink_merida,18211803838250485,"Ve a ver mi perfil, tengo lo que NECESITAS ❤️"
arturocm1225,17987181608448491,"Las consecuencias de una mala alimentación Soco, anaaaa!!!"
