hashtags:,#APROBADOPORELSOCO,#117
post_url,username,comment_id,comment_text
atilennon,18437393101055782,https://www.instagram.com/p/C7aE4iupEo-/,Las tortillas se ven mal hechas 😢😢
monky0105,18009494909223779,https://www.instagram.com/p/C7aE4iupEo-/,Wow!!!!!😋😋😋😋😋
orlandotravelfoodies,18006183380289275,https://www.instagram.com/p/C7aE4iupEo-/,El lugar se ve excelente!
lizandroangulo,18012906521520476,https://www.instagram.com/p/C7aE4iupEo-/,Urge un feat con @prueboyapruebo @ainho.garcia
ainho.garcia,18060435274572964,https://www.instagram.com/p/C7aE4iupEo-/,@lizandroangulo ❤️❤️❤️ yo jalo
manuelfloress213,18015849392107911,https://www.instagram.com/p/C7aE4iupEo-/,Aprobado por el soco !
