https://www.instagram.com/p/C6CUqGnJOB4/,hashtags:,#Kekén
username,comment_id,text
natzzu101,17855949051158884,Me caes Re.. bien cabula.😂
victoor_ojeda,17887216593015792,Todo se ve delicioso mi soco! 😋 no más cambiaría esa manteca de keken por una más tradicional de las que venden en las carnicerías
patriciaespinosa2016,18264152209230287,Tu frijolito con cemento maya para acompañar ñeñe
chefdiegonz,18053789047526874,Soco ya tiene mucho hongo esa tabla
claurosadoc,18056137402580677,La fundación se llama Asociación Hogar de Ángeles y el viernes tendremos un evento a beneficio de los 64 niños y jóvenes que forman parte!!
edwardc.c64,18076674835433481,"Da tu tanda en las americas soco, hace calor"
