https://www.instagram.com/p/DR7gcogkRLY/,hashtags:,#aprobadoporelsoco
username,comment_id,text
guerly.com.mx,17876227644462514,😍😍
adabetel_,17970995868003559,🔥🔥🔥🔥🔥🔥
camilm25,18053114315658524,😂😂😂😂😂
rocket_smashburgers,17924906679183778,Claramente sería el soco con mi comida en la mochila 😎
martinezmacero,18371466541081525,Jajaja yo en mi maxima expresion 😂
zagirar,18100529479759777,Serías @rodolfo.02rojas
rodolfo.02rojas,18088688423318642,@zagirar soy
