https://www.instagram.com/p/C72ZsgpAabD/,hashtags:,#Kekén
username,comment_id,text
elizaci,17955207989667637,@l.novelito
monky0105,18060958990576325,Socotroco no se como le haré pero tengo que encontrarte para que seas mi guía de turismo en Mérida 😁😁😂
monky0105,17883368465997659,😮😮😮👏👏
saul_alpuche,18036671164936556,Donde queda
elsocotroco,18223943188302295,"@saul_alpuche Taqueria Suárez - Av. 140 #567 x 63 A  Y 63 B, Fracc. Nora Quintana.
Aquí te dejo la dirección ñeñe!"
merlyalonso,17983485968679228,Donde esta ubicado??
elsocotroco,18312378064151862,"@merlyalonso

Taqueria Suárez - Av. 140 #567 x 63 A  Y 63 B, Fracc. Nora Quintana.
Aquí te dejo la dirección ñeñe"
