https://www.instagram.com/p/C48k9k5Ah2J/,hashtags:,#APROBADOPORELSOCO
username,comment_id,text
ameericavzz,17906916122940385,Wow un platillo super delicioso 👍
fredygamma,18054428368602952,"Muy rico ese platillo , pero no es Chirmole su nombre es CHILMOLE ."
