hashtags:,#aprobadoporelsoco,#SazónDelBueno,#comidayucateca
post_url,username,comment_id,comment_text
mercibri,18065047622025674,https://www.instagram.com/p/DKpt12UJSIh/,Delicioso 🔥
iansolano._,18120478519462026,https://www.instagram.com/p/DKpt12UJSIh/,"Wow q rico se ve, y pensar que usted estudio con mi papá y mi tío 😅en la ""FED 2"" mis respetos señor 🫡"
arr.28l,18076345732722144,https://www.instagram.com/p/DKpt12UJSIh/,😍
iansolano._,18282519865271903,https://www.instagram.com/p/DKpt12UJSIh/,Que se sentirá q me siga socotroco 🤩¿?
