https://www.instagram.com/p/DNkHL81gmX8/,hashtags:,#aprobadoporelsoco
username,comment_id,text
ilianasneijder,18129166480460610,😂😂😂 que rico con una bien fría CHSM jajaja
smp300321,17847014301545408,Los amooo
ayana.landero,18074659667318969,wow no pensé que hubiera algo más picoso que el habanero....
ivanzufotografo,18135886969378105,Cómo se llama ese lugar ?
yodelbosque,18097042639722341,Provecho!!
loopis_mc2,18103923772501989,Es 🌶️🔔✨a la entrada pica y a la salida repica! 🔥🥵💨
