hashtags:,#combis,#viajes,#viajesyturismo
post_url,username,comment_id,comment_text
randyplacido_,17903910341414255,https://www.instagram.com/p/CbIfVQYOdfL/,Por que regañaste a la combi?
paquito65glez,17952504442630969,https://www.instagram.com/p/CbIfVQYOdfL/,"Sin rumbo fijo, durante unos meses.😁"
ricardo_mtz_00,18264482368074033,https://www.instagram.com/p/CbIfVQYOdfL/,"Por todo Yucatán soco, empezando por la costa 🌊"
