hashtags:,#comida,#tutorial
post_url,username,comment_id,comment_text
valenfdz,17991946234941573,https://www.instagram.com/p/CsFhTTWsvz1/,Soquis @andresceballos
andresceballos,17989625284984990,https://www.instagram.com/p/CsFhTTWsvz1/,@valenfdz mercyyyyyy
lauriemendez,17975302715200127,https://www.instagram.com/p/CsFhTTWsvz1/,Sabía que sacarías el tenedor Soco 😂
alondra.mar.alc14,17964449858449383,https://www.instagram.com/p/CsFhTTWsvz1/,@amir.aguilar23 nos ha revelado el secreto el soco jaja
amir.aguilar.alcocer.23,17875163162876029,https://www.instagram.com/p/CsFhTTWsvz1/,@alondra.mar.alc14 😂😂😂😂 afirma
agustin_pasos,18218059774233747,https://www.instagram.com/p/CsFhTTWsvz1/,Saludos padrino @donsocotroco
jomacasa86,17925203054695561,https://www.instagram.com/p/CsFhTTWsvz1/,Si soiiiii @donsocotroco
pbivonne18,17982190946111161,https://www.instagram.com/p/CsFhTTWsvz1/,Ay dios que gran tutorial 😂😂😂😂😂
radiget,17986286663020577,https://www.instagram.com/p/CsFhTTWsvz1/,Te la mamáste broooooo😂😂😂😂😂😂😂😂😂
