hashtags:,#recetas,#aprobadoporelsoco
post_url,username,comment_id,comment_text
iyzvss,17936251850859535,https://www.instagram.com/p/DDSuaDHpzFU/,Cuida tu salud.
alejandroojeda012592,17905301163064664,https://www.instagram.com/p/DDSuaDHpzFU/,De hecho el cálido de clásicos es el verde !
max.ojeda,17887345146118368,https://www.instagram.com/p/DDSuaDHpzFU/,"Mi querido Socotroco, yo hace tiempo que te sigo y me parecen muy buenos los videos que subes, por que tienes gracia y la haces de forma nata, pero no me pareció que por un comentario de crítica me haya bloqueado tu esposa. La verdad no me parece que se aproveche de tu fama para que se cuelgue. Tu si tienes gracia, pero ella no!!!."
max.ojeda,18263615860249900,https://www.instagram.com/p/DDSuaDHpzFU/,"Mi estimada Merci y mi estimado Socotroco, yo te seguía por que me parecían graciosos los videos que subías con los comentarios de tu esposa en OFF, cuando decía: ""HAY ALFONSO""... Pero ahorita que sube sus propios videos, la verdad no se me hace graciosa, al contrario asusta cuando abre sus ojos, hay personas que si la hacen y personas que no la hacen, no la quieran sacar monetización con una gracia que no tienen. Saludos!."
_prissalazar,17958694286731712,https://www.instagram.com/p/DDSuaDHpzFU/,"Que rico se ve ese spaghetti, saludos soco 🫰🏻"
