https://www.instagram.com/p/CWIsZmAN9NK/,hashtags:,#cumpleaños
username,comment_id,text
fredygamma,17918878553012654,Muchas felicidades a Doña Gaby.
mariasntyo,17914030169022382,Muchas felicidades 🎊🎈🍾🎉🎂🎈🎂🎈🎈
janeiros.churrascaria,17888882240423447,"Felicidades doña Gaby, venga a comer, la casa invita 👏"
monitaviajante,17905817987323755,😍😍😍
arasheliss,17854282202656916,Felicidades a doña Gaby!🥳🎂🎉😘
alan.medina_1,17968110925473408,Muchas felicidades a doña gabi que la pase super chingon consiéntela soco eh
betofax30,18175613149090535,Felicidades a doña Gaby
sstabues,17888611739421995,Felicidades a tu mami
juan_1972,17918617892055624,Muchas felicidades a tu señora madre. Bendiciones.
botijor.5,17888267213439290,Y la ulmildad ante todo somos yucatecos tenemos en la sangre el éxito saludos..
botijor.5,17850181382652711,Lo mejor de todo mi estimado tener la que nos dio la vida alado de nosotros y eso siempre hay que agradecer a nuestro Dios padre.
zareth_argent,17899398530373540,"Más chula esa la mamá del soco! De todo corazón deseo que tengas a tu madre por mucho tiempo más, he vivido mi corta vida pensado en ¿Qué haría si mi madre no estuviera? Apeciar los momentos pequeños son lo que nos da esa vida. Feliz cumpleaños y que tengan un buen desayuno né! Anaaaaaaaaá! 🥳🥳🥳"
turco_aguilar,17946593965609116,❤️ Muchas felicidades que dios la bendiga siempre
