hashtags:,#aprobadoporelsoco,#SazónDelBueno,#familia
post_url,username,comment_id,comment_text
gabytalfaro,18075312412903286,https://www.instagram.com/p/DK5oCLNsq0P/,Yo les espolvoreo azúcar saliendo del horno
anaestrada1865,18082508428878857,https://www.instagram.com/p/DK5oCLNsq0P/,Y la cantidad? Tiempo de horneado? 😢
xicoj_ribeiro,18501885937037665,https://www.instagram.com/p/DK5oCLNsq0P/,❤️❤️🔥
jenjnp,18094153048608119,https://www.instagram.com/p/DK5oCLNsq0P/,No pusiste las porciones para hacerlo... Cuánto es de cada ingrediente?
mariasinensis_,18363796744178108,https://www.instagram.com/p/DK5oCLNsq0P/,Way no se Soqui esta vez creo que no..
robbson_98,18147853465388145,https://www.instagram.com/p/DK5oCLNsq0P/,Lo bueno que el Soco camina….
joselincansecodiaz,18046791671620135,https://www.instagram.com/p/DK5oCLNsq0P/,Calculaooo por mis guías ancestrales
terrymurua,18179444056324477,https://www.instagram.com/p/DK5oCLNsq0P/,"Dónde está la receta!!!!!!!
No pongas videos así sin medidas! Entonces para que ver el video!! 😡"
mooy_bf,18329992378201868,https://www.instagram.com/p/DK5oCLNsq0P/,Lloraste soco? 🥹🥹
tereblanqueto,18070795729817114,https://www.instagram.com/p/DK5oCLNsq0P/,Soco pon cantidades y cuanto tiempo en el horno  y grados
abrilchanlasadiquita,18068525351045102,https://www.instagram.com/p/DK5oCLNsq0P/,@elsocotroco podrías poner las cantidades de los ingredientes porfa gracias 🙌
