hashtags:,#telocuento,#podcast,#podcastmadre
post_url,username,comment_id,comment_text
elrulo17,18029025803056183,https://www.instagram.com/p/C6pyerugDK3/,Maaaa padrino negaste al ferchi y a la chaqueta
guskavo_5,18030297178847071,https://www.instagram.com/p/C6pyerugDK3/,Y los voxtuberos?
britanyajaira,18112526401373285,https://www.instagram.com/p/C6pyerugDK3/,❤️❤️ Bravo!!
nacharock,18047959693728833,https://www.instagram.com/p/C6pyerugDK3/,@britanyajaira hermosota ❤️ ¡Qué tal el Soquito! Un crack
britanyajaira,18265315867225079,https://www.instagram.com/p/C6pyerugDK3/,@nacharock // Me cae re bien!!! ❤️ Saludos y el mejor de los éxitos para ti!!❤️❤️❤️
gerardo_lopal,18431281759025891,https://www.instagram.com/p/C6pyerugDK3/,Porque no quisiste decir el nombre de voxtuberos con los que empezaste. Que pasa 😢
