hashtags:,#aprobadoporelsoco,#humor,#perrijos🐶🐕🐩
post_url,username,comment_id,comment_text
75gaviota,18155276431407051,https://www.instagram.com/p/DRYaYrqkcZa/,Con más cariño!!
gloriaraquelalderete,18083320034009635,https://www.instagram.com/p/DRYaYrqkcZa/,😂😍
elsocotroco,18011023331811093,https://www.instagram.com/p/DRYaYrqkcZa/,@gloriaraquelalderete 👏
paoobv19,17965475489990565,https://www.instagram.com/p/DRYaYrqkcZa/,Creo que se bañaron los dos 🤭
guerly.com.mx,17843713785662947,https://www.instagram.com/p/DRYaYrqkcZa/,❤️❤️❤️
zurisadai2.go,18086868530488991,https://www.instagram.com/p/DRYaYrqkcZa/,❤️🐶🧼😘 !!
estefysabido,18073835288199259,https://www.instagram.com/p/DRYaYrqkcZa/,Tengo una igualitaaaa 😩🩷🫶🏻
damarysladron,18086916191002097,https://www.instagram.com/p/DRYaYrqkcZa/,😍
facunditocoloma,18083525144109156,https://www.instagram.com/p/DRYaYrqkcZa/,Tan fuerte
libni.glow,18100416148619940,https://www.instagram.com/p/DRYaYrqkcZa/,👏😂❤️
cecidemoraes,18298720621270632,https://www.instagram.com/p/DRYaYrqkcZa/,No le dió ni tiempo de portarse mal jajaja
suatdmustre,18101205562682009,https://www.instagram.com/p/DRYaYrqkcZa/,La bañaron con agua calientita?.... Al mío le encanta el agua calientita  saludos me encanta su contenido.
marivb68,18160139095405120,https://www.instagram.com/p/DRYaYrqkcZa/,😂😂😂 que bonito 😂🇮🇨🇪🇦
tamaragomezh17,18081773234277732,https://www.instagram.com/p/DRYaYrqkcZa/,Los amo ❤️
sisoynadi_cun,18056522627316493,https://www.instagram.com/p/DRYaYrqkcZa/,😂😂😂😂😂😂😂
bely_miceli,18105036901590959,https://www.instagram.com/p/DRYaYrqkcZa/,Ya parece baño de bebe en el seguro social 😂😂
angie.lunastars.fernandez,18409357762184980,https://www.instagram.com/p/DRYaYrqkcZa/,😍😍😍😍
olgadelaf,17996176667728742,https://www.instagram.com/p/DRYaYrqkcZa/,"Lo enjabona muy tosco, más suave el está chiquito"
nomamesam,17970851384966969,https://www.instagram.com/p/DRYaYrqkcZa/,Despacio gordo no la maguyes mucho
genesis_frenesis,18147100033430594,https://www.instagram.com/p/DRYaYrqkcZa/,Esta medio bruto el señor. No ve que esta lavando al dios del infierno
